"","canton_id","canton_name","mun_id","mun_name","jaStimmenInProzent","jaStimmenAbsolut","neinStimmenAbsolut","stimmbeteiligungInProzent","eingelegteStimmzettel","anzahlStimmberechtigte","gueltigeStimmen","TotalAreaHa","AgriculturalAreaHa"
"1","1","Zürich","1","Aeugst am Albis",53.189401374,542,477,72.073342736,1022,1418,1019,790,397
"2","1","Zürich","2","Affoltern am Albis",51.25,2132,2028,58.204807559,4189,7197,4160,1054,425
"3","1","Zürich","3","Bonstetten",55.077960388,1307,1066,65.184174625,2389,3665,2373,744,391
"4","1","Zürich","4","Hausen am Albis",50,876,876,68.894099258,1763,2559,1752,1364,753
"5","1","Zürich","5","Hedingen",54.629097182,950,789,69.401506143,1751,2523,1739,655,303
"6","1","Zürich","6","Kappel am Albis",42.077464789,239,329,72.090112641,576,799,568,782,541
"7","1","Zürich","7","Knonau",48.1444333,480,517,67.022696929,1004,1498,997,649,406
"8","1","Zürich","8","Maschwanden",44.444444444,148,185,74.501108647,336,451,333,468,274
"9","1","Zürich","9","Mettmenstetten",51.028963415,1339,1285,72.263374486,2634,3645,2624,1305,840
"10","1","Zürich","10","Obfelden",44.388456253,969,1214,62.083568605,2199,3542,2183,755,365
"11","1","Zürich","11","Ottenbach",48.26546003,640,686,69.427083333,1333,1920,1326,503,264
"12","1","Zürich","12","Rifferswil",53.894080997,346,296,81.289506953,643,791,642,659,420
"13","1","Zürich","13","Stallikon",49.779735683,791,798,66.611087953,1598,2399,1589,1202,459
"14","1","Zürich","14","Wettswil am Albis",54.295682512,1245,1048,66.976204295,2308,3446,2293,375,129
"15","1","Zürich","22","Benken (ZH)",35.844748858,157,281,73.701842546,440,597,438,566,316
"16","1","Zürich","23","Berg am Irchel",34.831460674,124,232,79.074889868,359,454,356,703,336
"17","1","Zürich","24","Buch am Irchel",39.622641509,210,320,73.553719008,534,726,530,1016,552
"18","1","Zürich","25","Dachsen",52.550415184,443,400,63.340724316,857,1353,843,266,122
"19","1","Zürich","26","Dorf",32,112,238,72.857142857,357,490,350,554,255
"20","1","Zürich","27","Feuerthalen",48.618371919,651,688,59.251197214,1361,2297,1339,250,26
"21","1","Zürich","28","Flaach",37.481698389,256,427,72.182006205,698,967,683,1020,504
"22","1","Zürich","29","Flurlingen",56.606397775,407,312,69.694072658,729,1046,719,240,40
"23","1","Zürich","31","Henggart",44.266441821,525,661,71.148126115,1196,1681,1186,305,166
"24","1","Zürich","33","Kleinandelfingen",37.743190661,388,640,69.764309764,1036,1485,1028,1029,512
"25","1","Zürich","34","Laufen-Uhwiesen",46.090047393,389,455,67.007874016,851,1270,844,629,238
"26","1","Zürich","35","Marthalen",40.060544904,397,594,72.057761733,998,1385,991,1415,654
"27","1","Zürich","37","Ossingen",40.98173516,359,517,70.592948718,881,1248,876,1307,736
"28","1","Zürich","38","Rheinau",49.837662338,307,309,73.443008226,625,851,616,897,229
"29","1","Zürich","39","Thalheim an der Thur",31.287128713,158,347,74.486803519,508,682,505,646,419
"30","1","Zürich","40","Trüllikon",35.214007782,181,333,64.099378882,516,805,514,956,592
