"sex","age","f15200","f20221"
1,69,7,2
2,32,1,1
2,91,8,2
2,56,1,1
1,52,0,3
1,53,3,2
2,34,2,2
1,21,4,1
2,72,8,3
1,26,8,3
1,19,5,2
2,37,7,1
1,62,8,1
2,32,6,2
1,67,6,1
2,85,7,2
2,50,0,5
1,45,7,2
2,35,9,3
2,25,6,1
1,42,4,1
1,31,8,2
1,70,3,3
2,26,3,1
2,25,8,3
2,49,8,2
2,36,4,2
1,62,7,1
2,33,4,2
1,81,8,1
2,75,0,2
2,30,7,1
1,48,9,2
2,62,0,2
1,53,7,1
2,29,8,2
2,79,6,1
1,47,4,2
1,68,8,3
2,25,8,2
2,61,5,2
1,52,5,2
1,58,9,2
2,51,6,2
1,39,9,2
1,78,8,2
1,53,8,1
1,30,8,2
2,53,5,1
2,72,5,5
1,20,3,2
2,70,3,1
1,32,7,1
1,55,8,3
1,35,8,1
1,50,6,1
2,63,4,2
1,62,7,1
1,32,3,2
1,71,3,3
2,43,8,1
2,42,5,1
2,40,4,1
2,42,5,5
2,75,0,2
2,62,1,2
2,51,8,3
2,62,5,1
1,55,3,2
2,50,2,1
1,67,8,1
2,26,8,2
2,78,3,1
2,20,5,3
2,39,4,1
2,38,8,2
1,81,7,1
2,51,10,2
1,61,7,1
2,56,8,1
1,24,10,1
2,28,4,2
1,75,6,3
1,47,7,2
2,39,5,1
2,47,4,1
2,29,8,1
1,28,0,1
1,33,10,2
1,76,6,2
2,31,8,1
1,62,5,1
1,44,8,2
2,79,8,1
2,35,1,5
1,72,7,1
2,77,10,2
1,25,7,2
2,54,10,3
2,29,5,3
2,80,5,1
1,61,9,1
2,59,10,2
2,57,2,5
1,50,6,3
1,48,3,3
2,28,9,1
2,18,3,2
2,73,1,3
1,23,7,5
1,68,7,2
1,49,5,1
1,84,10,1
2,30,2,1
1,30,8,1
2,67,0,3
2,58,7,2
2,35,5,3
1,18,4,1
1,76,2,1
2,30,8,1
2,32,6,1
2,71,8,1
2,48,1,2
1,52,8,1
1,84,7,1
2,72,5,2
1,62,0,2
2,36,4,1
2,19,8,3
2,31,2,2
2,56,8,3
2,23,3,2
2,49,8,2
2,48,5,1
1,67,3,1
1,18,3,2
1,48,4,1
2,54,1,1
2,55,9,3
2,60,3,1
2,42,0,2
1,58,7,2
1,50,7,5
2,77,5,1
1,52,3,2
1,58,2,2
1,64,3,1
2,56,6,2
2,56,7,3
1,56,0,2
1,66,3,1
1,60,1,5
1,29,10,1
1,28,6,1
2,37,1,1
2,58,7,2
2,36,0,4
2,74,0,2
2,28,7,2
1,37,6,5
1,46,8,2
2,70,8,1
1,33,5,2
1,62,10,2
1,42,5,2
2,31,8,1
1,63,5,1
2,65,7,1
2,26,1,2
2,29,9,3
2,62,9,2
2,57,4,3
1,82,5,1
2,60,1,2
2,53,0,2
2,31,4,1
2,43,3,2
2,23,6,2
1,20,5,2
2,68,3,1
2,38,2,2
1,49,4,5
1,65,2,2
2,51,5,5
1,51,6,2
1,96,3,2
1,73,5,2
1,45,3,2
2,55,8,1
2,55,2,2
2,18,5,1
2,45,3,2
1,53,3,2
2,61,9,2
2,50,7,2
2,68,5,3
2,28,1,2
1,35,4,1
2,29,2,1
2,69,6,1
2,64,4,1
1,41,6,1
1,75,3,2
